artist,song,year,recog10Before,recogYearOf,recog10After
Mariah Carey,Love Takes Time,1990,0.524,0.177,0.314
Mariah Carey,My All,1998,0.4,0.14,0
Mariah Carey,Never Forget You,1994,0.409,0.224,0
Mariah Carey,One Sweet Day,1995,0.768,0.205,0
Mariah Carey,Someday,1991,0.386,0.107,0
Mariah Carey,Vision Of Love,1990,0.313,0.183,0.071
Mariah Carey,Without You,1994,0.679,0.551,0
Mark Morrison,Return Of The Mack,1997,0.648,0.229,0
Marky Mark and The Funky Bunch,Good Vibrations,1991,0.795,0.689,0
Mary J. Blige,Not Gon' Cry,1996,0.059,0.047,0
Maxi Priest,Close To You,1990,0.615,0.217,0.12
Maxwell,Fortunate,1999,0.016,0.083,0
Meat Loaf,I'd Do Anything For Love,1993,0.772,0.286,0
Meredith Brooks,Bitch,1997,0.631,0.262,0
Merril Bainbridge,Mouth,1996,0.373,0.055,0
Method Man,I'll Be There For You,1995,0.217,0.045,0
Michael Bolton,How Am I Supposed To Live Without You,1990,0.6,0.393,0.231
Michael Bolton,How Can We Be Lovers,1990,0.615,0.346,0.154
Michael Bolton,Love Is A Wonderful Thing,1991,0.422,0.188,0
Michael Bolton,When A Man Loves A Woman,1991,0.66,0.311,0
Michael Jackson,Black Or White,1991,0.981,0.811,0
Michael Jackson,Remember The Time,1992,0.778,0.614,0
Michael Jackson,You Are Not Alone,1995,0.903,0.655,0
Milli Vanilli,All Or Nothing,1990,0.22,0.083,0.043
Monica,Angel Of Mine,1999,0.333,0.074,0
Monica,Don't Take It Personal,1995,0.373,0.091,0
Monica,For You I Will,1997,0.477,0.098,0
Monica,The First Night,1998,0.087,0.105,0
Montell Jordan,Let's Ride,1998,0.043,0.047,0
Montell Jordan,This Is How We Do It,1995,0.867,0.55,0
Mr. Big,To Be With You,1992,0.759,0.315,0
Nelson,Can't Live Without Your Love And Affection,1990,0.233,0.115,0.103
New Edition,Hit Me Off,1996,0.089,0.051,0
New Kids On The Block,Step By Step,1990,0.628,0.191,0.182
Next,Too Close,1998,0.455,0.2,0
Nicki French,Total Eclipse Of The Heart,1995,0.763,0.612,0
"Notorious B.I.G., The",Hypnotize,1997,0.534,0.463,0
"Notorious B.I.G., The","Mo Money, Mo Problems",1997,0.662,0.395,0
"Notorious B.I.G., The",One More Chance-Stay With Me,1995,0.5,0.183,0
"Notorious B.I.G., The",The What,1995,0.442,0.467,0
Onyx,Slam,1993,0.452,0.34,0
PM Dawn,I'd Die Without You,1992,0.08,0.047,0
PM Dawn,Set Adrift On Memory Bliss,1991,0.472,0.154,0
Patty Smyth,Sometimes Love Just Ain't Enough,1992,0.587,0.135,0
Paula Abdul,Opposites Attract,1990,0.605,0.2,0.158
Paula Abdul,Rush Rush,1991,0.479,0.077,0
Paula Abdul,The Promise Of A New Day,1991,0.439,0.063,0
Peabo Bryson and Regina Bell,A Whole New World,1993,0.851,0.778,0
Pearl Jam,Last Kiss,1999,0.646,0.208,0
Pebbles,Giving You The Benefit,1990,0.2,0.132,0.038
Phil Collins,Do You Remember?,1990,0.22,0.154,0.088
Phil Collins,I Wish It Would Rain Down,1990,0.425,0.125,0.071
Phil Collins,Something Happened On The Way To Heaven,1990,0.72,0.413,0.188
Poison,Something To Believe In,1990,0.208,0.058,0.08
Poison,Unskinny Bop,1990,0.364,0.145,0.081
Prince,Diamonds And Pearls,1992,0.102,0.048,0
"Proclaimers, The",I'm Gonna Be,1993,0.823,0.82,0
Puff Daddy and Faith Evans,I'll Be Missing You,1997,0.969,0.816,0
Puff Daddy,Been Around The World,1998,0.292,0.152,0
Puff Daddy,Can't Nobody Hold Me Down,1997,0.438,0.434,0
Puff Daddy,Satisfy You,1999,0.159,0.258,0
Quad City DJ's,C'Mon N' Ride It,1996,0.371,0.022,0
R. Kelly,Bump N' Grind,1994,0.273,0.191,0
R. Kelly,Down Low,1996,0.125,0.043,0
R. Kelly,I Believe I Can Fly,1996,0.962,0.83,0
R. Kelly,I'm Your Angel,1998,0.304,0.111,0
R. Kelly,You Remind Me Of Something,1995,0.185,0.034,0
R.E.M.,Losing My Religion,1991,0.965,0.836,0
Ralph Tresvant,Sensitivity,1991,0.155,0.15,0
Real McCoy,Another Night,1994,0.846,0.548,0
Real McCoy,Run Away,1995,0.686,0.196,0
Red Hot Chili Peppers,Under The Bridge,1992,0.927,0.75,0
Ricky Martin,Livin' La Vida Loca,1999,0.952,0.6,0
Ricky Martin,She's All I Ever Had,1999,0.333,0.143,0
Right Said Fred,I'm Too Sexy,1992,0.841,0.542,0
Rod Stewart,Downtown Train,1990,0.451,0.117,0.115
Roxette,Dangerous,1990,0.226,0.075,0.217
Roxette,Fading Like A Flower,1991,0.157,0.114,0
Roxette,It Must Have Been Love,1990,0.917,0.695,0.35
Roxette,Joyride,1991,0.574,0.167,0
SWV,Right Here,1993,0.34,0.118,0
SWV,Weak,1993,0.217,0.07,0
Salt 'N Pepa,Shoop,1993,0.672,0.292,0
Salt 'N Pepa,Whatta Man,1994,0.926,0.425,0
Santana,Smooth,1999,0.984,0.483,0
Sarah McLachlan,Adia,1998,0.4,0.154,0
Sarah McLachlan,Angel,1999,0.5,0.321,0
Savage Garden,I Knew I Loved You,1999,0.686,0.286,0
Savage Garden,I Want You,1997,0.613,0.171,0
Savage Garden,Truly Madly Deeply,1998,0.583,0.13,0
Scorpions,Wind Of Change,1991,0.419,0.159,0
Seal,Kiss From A Rose,1995,0.972,0.6,0
Seduction,Two To Make It Right,1990,0.474,0.188,0.038
Shaggy,Boombastic,1995,0.793,0.37,0
Shai,If I Ever Fall In Love,1992,0.34,0.137,0
Shania Twain,From This Moment On,1998,0.525,0.206,0
Shania Twain,You're Still The One,1998,0.831,0.172,0
Shanice,I Love Your Smile,1992,0.453,0.173,0
Shanice,Saving Forever For You,1993,0.14,0.127,0
Sheryl Crow,All I Wanna Do,1994,0.925,0.554,0
Silk,Freak Me,1993,0.188,0.036,0
Sinead O'Connor,Nothing Compares 2 U,1990,0.721,0.207,0.071
Sir Mix-A-Lot,Baby Got Back,1992,0.877,0.817,0
Sixpence None The Richer,Kiss Me,1999,0.865,0.64,0
Smash Mouth,All Star,1999,0.942,0.926,0
Snap!,The Power,1990,0.933,0.887,0.852
Snow,Informer,1993,0.696,0.4,0
Somethin' For The People,My Love Is The Shhh!,1997,0.192,0.034,0
Soul For Real,Candy Rain,1995,0.242,0.14,0
"Spice Girls, The",Wannabe,1997,1,0.938,0
Stevie B,Because I Love You,1990,0.302,0.094,0.067
Styx,Show Me The Way,1991,0.205,0.159,0
Sugar Ray,Every Morning,1999,0.629,0.097,0
Surface,The First Time,1991,0.138,0.024,0
Sweet Sensation,If Wishes Came True,1990,0.204,0.062,0.069
TLC,Baby-Baby-Baby,1992,0.338,0.022,0
TLC,Creep,1995,0.643,0.245,0
TLC,No Scrubs,1999,0.838,0.515,0
TLC,Red Light Special,1995,0.358,0.061,0
TLC,Unpretty,1999,0.519,0.16,0
TLC,Waterfalls,1995,0.872,0.614,0
Tag Team,Whoomp! There It Is,1993,0.86,0.695,0
Tara Kemp,Hold You Tight,1991,0.125,0.032,0
Taylor Dayne,I'll Be Your Shelter,1990,0.261,0.102,0.08
Taylor Dayne,Love Will Lead You Back,1990,0.209,0.061,0.073
Technotronic,Pump Up The Jam,1990,0.882,0.689,0.323
Third Eye Blind,Semi-Charmed Life,1997,0.783,0.543,0
Timmy T,One More Try,1991,0.333,0.067,0
Tommy Page,I'll Be Your Everything,1990,0.102,0.075,0
Toni Braxton,Breathe Again,1994,0.339,0.113,0
Toni Braxton,Un-Break My Heart,1996,0.932,0.667,0
Toni Braxton,You're Makin' Me High,1996,0.288,0.111,0
Tony Rich Project,Nobody Knows,1996,0.379,0.021,0
Tracie Spencer,This House,1991,0.151,0.054,0
Tracy Chapman,Give Me One Reason,1996,0.566,0.156,0
UB40,Can't Help Falling In Love,1993,0.737,0.322,0
Usher,My Way,1998,0.262,0.132,0
Usher,Nice and Slow,1998,0.164,0.045,0
Usher,You Make Me Wanna..,1997,0.45,0.133,0
Vanessa Williams and Brian McKnight,Love Is,1993,0.328,0.159,0
Vanessa Williams,Colors Of The Wind,1995,0.71,0.521,0
Vanessa Williams,Save The Best For Last,1992,0.691,0.209,0
Vanilla Ice,Ice Ice Baby,1990,0.867,0.64,0.458
Vanilla Ice,Play That Funky Music,1991,0.615,0.492,0
Warren G,Regulate,1994,0.585,0.32,0
Whitney Houston,All The Man That I Need,1991,0.294,0.175,0
Whitney Houston,Exhale,1995,0.477,0.125,0
Whitney Houston,Heartbreak Hotel,1999,0.263,0.033,0
Whitney Houston,I Believe In You And Me,1997,0.324,0.289,0
Whitney Houston,I Have Nothing,1993,0.758,0.434,0
Whitney Houston,I Will Always Love You,1992,0.98,0.864,0
Whitney Houston,I'm Every Woman,1993,0.607,0.412,0
Whitney Houston,I'm Your Baby Tonight,1990,0.614,0.288,0.053
Whitney Houston,It's Not Right But It's Okay,1999,0.525,0.2,0
Will Smith,Gettin' Jiggy Wit It,1998,0.846,0.386,0
Will Smith,Wild Wild West,1999,0.833,0.241,0
Wilson Phillips,Hold On,1990,0.717,0.527,0.125
Wilson Phillips,Impulsive,1990,0.359,0.047,0.129
Wilson Phillips,Release Me,1990,0.491,0.049,0.086
Wilson Phillips,You're In Love,1991,0.352,0.092,0
Wreckx-N-Effect,Rump Shaker,1992,0.635,0.182,0
Xscape,Just Kickin' It,1993,0.185,0.016,0
diVINYLS,I Touch Myself,1991,0.545,0.379,0
